Atlantic,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
62,-28.5,4.02E-04,7.04E-04,5.06E-04,4.49E-04,2.93E-04,2.83E-04,2.60E-04,2.50E-04,2.65E-04,2.77E-04,3.21E-04,3.21E-04
61,-29.5,2.55E-03,3.28E-03,3.57E-03,3.90E-03,4.76E-03,6.59E-03,8.37E-03,1.19E-02,1.02E-02,5.32E-03,5.59E-03,3.65E-03
60,-30.5,1.22E-04,1.32E-04,1.03E-04,1.97E-04,1.89E-04,3.09E-04,4.08E-04,3.32E-04,3.44E-04,3.95E-04,1.93E-04,9.83E-05
59,-31.5,4.82E-04,6.84E-04,6.09E-04,8.69E-04,7.61E-04,1.38E-03,2.27E-03,2.20E-03,1.69E-03,1.34E-03,1.01E-03,5.82E-04
58,-32.5,4.85E-06,5.32E-07,1.13E-06,2.15E-06,1.27E-05,3.56E-05,3.53E-05,5.03E-05,2.14E-05,1.07E-05,6.52E-06,5.63E-06
57,-33.5,6.33E-03,6.51E-03,5.59E-03,5.22E-03,7.66E-03,1.05E-02,1.33E-02,1.41E-02,1.26E-02,1.16E-02,1.04E-02,6.11E-03
56,-34.5,1.78E-02,1.99E-02,2.15E-02,2.19E-02,2.08E-02,1.98E-02,1.94E-02,1.70E-02,1.55E-02,1.61E-02,1.68E-02,1.65E-02
55,-35.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
54,-36.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
53,-37.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
52,-38.5,3.68E-04,1.72E-04,1.65E-04,1.58E-04,1.55E-04,1.95E-04,1.96E-04,1.95E-04,2.10E-04,3.39E-04,5.93E-04,4.85E-04
51,-39.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
50,-40.5,7.92E-04,5.04E-04,4.61E-04,4.37E-04,6.17E-04,1.11E-03,1.28E-03,1.32E-03,1.24E-03,1.36E-03,1.47E-03,1.21E-03
49,-41.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
48,-42.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
47,-43.5,2.59E-05,1.46E-05,1.30E-05,1.54E-05,3.26E-05,6.73E-05,8.05E-05,9.20E-05,9.65E-05,1.02E-04,9.03E-05,4.90E-05
46,-44.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
45,-45.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
44,-46.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
43,-47.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
42,-48.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
41,-49.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
40,-50.5,1.81E-03,2.37E-03,2.79E-03,2.50E-03,1.96E-03,1.44E-03,1.03E-03,7.44E-04,5.81E-04,6.52E-04,9.33E-04,1.26E-03
39,-51.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
38,-52.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
37,-53.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
36,-54.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
35,-55.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
34,-56.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
33,-57.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
32,-58.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
31,-59.5,,,,,,,,,,,,
30,-60.5,,,,,,,,,,,,
29,-61.5,,,,,,,,,,,,
28,-62.5,,,,,,,,,,,,
27,-63.5,,,,,,,,,,,,
26,-64.5,,,,,,,,,,,,
